Aamir; Masculino
Avraham; Hombre
Avram; Masc
Avrom; H
Axel; Hombre
Aylmer; Hombre
Aziz; Hombre
Bailey; Masculino
Bailie; Masculino
Baillie; Masc
Baily; H
Baird; Masculino
Baldwin; Masculino
Bancroft; H
Barbabas; H
Barclay; H
Bard; Masc
Barde; H
Barn; Hombre
Barnabas; Hombre
Barnabe; Masc
Barnaby; Masc
Barnard; Hombre
Barnebas; Hombre
Barnett; Masc
Barney; Masculino
Barnie; Masculino
Barny; Masc
Baron; Masculino
Barr; Masculino
Barret; Hombre
Barrett; Masc
Barri; Masc
Barrie; Hombre
Barris; Masc
Barron; H
Barry; Masc
Bart; Masculino
Bartel; Masc
Barth; H
Barthel; H
Bartholemy; Hombre
Bartholomeo; Hombre
Bartholomeus; H
Bartholomew; Masc
Bartie; Masc
Bartlet; Hombre
Bartlett; H
Bartolemo; Hombre
Bartolomei; Masc
Bartolomeo; Masc
Barton; Masc
Barty; H
Bary; Masculino
Basil; Masculino
Batholomew; Masc
Baxter; Hombre
Bay; Hombre
Bayard; Masculino
Beale; Masc
Bealle; Masc
Bear; H
Bearnard; Masculino
Beau; H
Beaufort; Masculino
Beauregard; Hombre
Beck; Hombre
Bela; Masculino
Ben; H
Benedict; Hombre
Bengt; Hombre
Benito; Masc
Benjamen; H
Benjamin; Masculino
Benji; Masculino
Benjie; Hombre
Benjy; Masculino
Benn; Masculino
Bennet; H
Bennett; H
Bennie; Masc
Benny; Masculino
Benson; Masc
Bentley; Masculino
Benton; Hombre
Beowulf; Masc
Berchtold; Masculino
Berk; Masculino
Berke; Hombre
Berkeley; Hombre
Berkie; Masculino
Berkley; Masc
Bernard; Masculino
Bernardo; Masculino
Bernd; Hombre
Bernhard; Masculino
Bernie; Hombre
Bert; Hombre
Bertie; Masculino
Bertram; H
Bertrand; Masc
Bharat; Masculino
Biff; Masculino
Bill; Hombre
Billie; Masculino
Billy; Hombre
Bing; Masc
Binky; Masculino
Bishop; H
Bjorn; H
Bjorne; H
Blaine; Hombre
Blair; H
Blake; Masculino
Blare; Masculino
Blayne; Masculino
Bo; Masc
Bob; Masculino
Bobbie; Masculino
Bobby; H
Bogart; Masculino
Bogdan; Hombre
Boniface; Masc
Boris; Masculino
Boyce; Hombre
Boyd; Masc
Brad; H
Braden; Masc
Bradford; Masc
Bradley; Masculino
Bradly; Hombre
Brady; H
Brandon; Masc
Brandy; H
Brant; Masculino
Brendan; H
Brent; Masculino
Bret; Masculino
Brett; Hombre
Brewer; Hombre
Brewster; Hombre
Brian; Masculino
Brice; Masculino
Briggs; Hombre
Brinkley; Masculino
Britt; Masc
Brock; Masc
Broddie; Masc
Broddy; Masculino
Broderic; Hombre
Broderick; Hombre
Brodie; Masc
Brody; Masculino
Bronson; Masculino
Brook; H
Brooke; Masc
Brooks; Masculino
Bruce; Masc
Bruno; Hombre
Bryan; H
Bryant; Hombre
Bryce; H
Bryn; Masculino
Bryon; Hombre
Bubba; Masc
Buck; Masc
Bucky; Masculino
Bud; Masculino
Buddy; Masc
Burgess; Masculino
Burke; Masc
Burl; Masc
Burnaby; Hombre
Burt; Masc
Burton; H
Buster; Masculino
Butch; Masc
Butler; H
Byram; Masc
Byron; Masculino
Caesar; Masculino
Cain; Masc
Cal; Masc
Caldwell; Hombre
Caleb; Masc
Calhoun; Masc
Calvin; Hombre
Cam; H
Cameron; Masculino
Cammy; Masc
Carey; H
Carl; Masculino
Carleigh; Masc
Carlie; Masculino
Carlin; Masculino
Carlo; Masc
Carlos; H
Carlton; Hombre
Carlyle; Hombre
Carmine; Masculino
Carroll; Masc
Carson; Hombre
Carsten; Masculino
Carter; H
Cary; Masc
Caryl; H
Case; H
Casey; Masculino
Caspar; H
Casper; Hombre
Cass; H
Cat; Hombre
Cecil; Masculino
Cesar; Masculino
Chad; H
Chadd; Hombre
Chaddie; Masculino
Chaddy; Masculino
Chadwick; Masculino
Chaim; H
Chalmers; Hombre
Chan; Masc
Chance; Masc
Chancey; Masc
Chanderjit; Hombre
Chandler; Hombre
Chane; H
Chariot; Hombre
Charles; Masculino
Charleton; Masc
Charley; Masc
Charlie; Masc
Charlton; H
Chas; Masculino
Chase; H
Chaunce; Hombre
Chauncey; Hombre
Che; H
Chelton; Masculino
Chen; Masc
Chester; Hombre
Cheston; Masc
Chet; H
Chev; Hombre
Chevalier; H
Chevy; Masculino
Chip; Hombre
Chris; Masc
Chrissy; Masc
Christ; Masc
Christian; H
Christiano; Masc
Christie; Masc
Christof; Masculino
Christofer; H
Christoph; Hombre
Christophe; Masc
Christopher; Hombre
Christorpher; H
Christos; Hombre
Christy; Hombre
Chrisy; H
Chuck; Hombre
Churchill; Masc
Clair; Masc
Claire; Masculino
Clancy; Masc
Clarance; H
Clare; Hombre
Clarence; H
Clark; H
Clarke; Masc
Claude; Hombre
Claudio; Masculino
Claudius; Masc
Claus; Masc
Clay; Masculino
Clayborn; H
Clayborne; Masculino
Claybourne; Masc
Clayton; Masculino
Cleland; H
Clem; Masculino
Clemens; Hombre
Clement; H
Clemente; Hombre
Clemmie; Masc
Cletus; Masc
Cleveland; H
Cliff; Hombre
Clifford; Masculino
Clifton; Masculino
Clint; H
Clinten; Masculino
Clinton; Hombre
Clive; Hombre
Clyde; Masc
Cob; Hombre
Cobb; Masc
Cobbie; Masc
Cobby; H
Cody; H
Colbert; H
Cole; H
Coleman; Masculino
Colin; Hombre
Collin; Masc
Collins; Hombre
Conan; Hombre
Connie; H
Connolly; Hombre
Connor; H
Conrad; Masc
Conroy; Masculino
Constantin; Hombre
Constantine; Masculino
Constantinos; Masc
Conway; Masc
Cooper; Masculino
Corbin; H
Corby; Masculino
Corey; Hombre
Corky; Masc
Cornelius; H
Cornellis; H
Corrie; Hombre
Cortese; Masculino
Corwin; Hombre
Cory; Masculino
Cosmo; Hombre
Costa; Masculino
Courtney; H
Craig; Masculino
Crawford; Masc
Creighton; Hombre
Cris; Hombre
Cristopher; Masculino
Curt; Hombre
Curtice; Masculino
Curtis; Hombre
Cy; H
Cyril; Hombre
Cyrill; H
Cyrille; Hombre
Cyrillus; Hombre
Cyrus; Masc
Dabney; H
Daffy; Masculino
Dale; Hombre
Dallas; Hombre
Dalton; Masc
Damian; Masculino
Damien; Masc
Damon; Masculino
Dan; Masculino
Dana; H
Dane; Masculino
Dani; Masculino
Danie; Hombre
Daniel; Masc
Dannie; Masculino
Danny; Hombre
Dante; Masculino
Darby; Hombre
Darcy; Masculino
Daren; Masculino
Darian; H
Darien; Masculino
Darin; Masculino
Dario; Masculino
Darius; H
Darrel; Hombre
Darrell; Hombre
Darren; H
Darrick; Masculino
Darrin; Masc
Darryl; Hombre
Darth; Masc
Darwin; Masc
Daryl; Hombre
Daryle; Masculino
Dave; Masculino
Davey; Hombre
David; H
Davidde; H
Davide; H
Davidson; H
Davie; H
Davin; H
Davis; Hombre
Davon; H
Davoud; Masc
Davy; H
Dawson; Masc
Dean; Masc
Deane; H
Del; Masculino
Delbert; H
Dell; H
Delmar; Masculino
Demetre; Masculino
Demetri; Masc
Demetris; Masc
Demetrius; Masc
Demosthenis; Masculino
Denis; H
Dennie; Masc
Dennis; Masc
Denny; H
Derby; Masculino
Derek; Masculino
Derick; Masc
Derk; Masculino
Derrek; Masc
Derrick; Hombre
Derrin; Masculino
Derrol; Hombre
Derron; Masculino
Deryl; Masc
Desmond; Hombre
Desmund; Masculino
Devin; Hombre
Devon; Masculino
Dewey; Masculino
Dewitt; H
Dexter; H
Dick; Masc
Dickey; Masc
Dickie; H
Diego; Masculino
Dieter; Hombre
Dietrich; Masc
Dillon; Hombre
Dimitri; H
Dimitrios; Hombre
Dimitris; Masculino
Dimitrou; Hombre
Dimitry; Masculino
Dino; H
Dion; Hombre
Dionis; Masc
Dionysus; Masc
Dirk; Masculino
Dmitri; Hombre
Dom; Hombre
Domenic; H
Domenico; Masculino
Dominic; H
Dominick; Hombre
Dominique; Hombre
Don; Masculino
Donal; Masc
Donald; Masculino
Donn; Masculino
Donnie; Masc
Donny; Masculino
Donovan; Masculino
Dorian; Masc
Dory; H
Doug; Hombre
Douggie; Hombre
Dougie; Masc
Douglas; H
Douglass; H
Douglis; Hombre
Dov; Masculino
Doyle; Hombre
Drake; Masculino
Drew; H
Dru; Masculino
Dryke; H
Duane; Hombre
Dudley; Hombre
Duffie; Masculino
Duffy; Masculino
Dugan; Hombre
Duke; Masculino
Dunc; H
Duncan; H
Dunstan; Masculino
Durand; Masculino
Durant; Hombre
Durante; Masculino
Durward; Masc
Dustin; Masculino
Dwain; Masculino
Dwaine; H
Dwane; H
Dwayne; Masculino
Dwight; Hombre
Dylan; Hombre
Dyson; Masculino
Earl; Hombre
Earle; H
Easton; Masc
Eben; Hombre
Ebeneser; H
Ebenezer; Hombre
Eberhard; H
Ed; Masc
Eddie; Masc
Eddy; Masc
Edgar; H
Edgardo; H
Edie; Hombre
Edmond; H
Edmund; Masculino
Edouard; H
Edsel; Masc
Eduard; H
Eduardo; Masc
Edward; H
Edwin; Masculino
Efram; Hombre
Egbert; Hombre
Ehud; Masc
Elbert; H
Elden; Masculino
Eldon; H
Eli; Hombre
Elias; Masc
Elihu; Hombre
Elijah; Masc
Eliot; Masculino
Eliott; H
Elisha; H
Elliot; H
Elliott; Masc
Ellis; Masc
Ellsworth; H
Ellwood; Hombre
Elmer; Hombre
Elmore; H
Elnar; Hombre
Elric; Masculino
Elroy; H
Elton; Masculino
Elvin; Hombre
Elvis; Masc
Elwin; Masc
Elwood; Masculino
Elwyn; Masc
Ely; H
Emanuel; Masculino
Emerson; Masculino
Emery; Hombre
Emil; Masculino
Emile; Hombre
Emilio; Masculino
Emmanuel; Hombre
Emmery; Masc
Emmet; Masc
Emmett; Masculino
Emmit; H
Emmott; Hombre
Emmy; Hombre
Emory; Hombre
Ender; H
Engelbart; Masc
Engelbert; H
Englebart; Masculino
Englebert; H
Enoch; H
Enrico; H
Enrique; Hombre
Ephraim; Masculino
Ephram; H
Ephrayim; Masculino
Ephrem; Hombre
Er; H
Erasmus; H
Erastus; Hombre
Erek; H
Erhard; Masculino
Erhart; Masculino
Eric; H
Erich; Masculino
Erick; Masculino
Erik; Hombre
Erin; Masc
Erl; Hombre
Ernest; Hombre
Ernesto; Masculino
Ernie; Masc
Ernst; Masc
Erny; Hombre
Errol; Masc
Ervin; Masc
Erwin; Masculino
Esau; H
Esme; Masc
Esteban; Hombre
Ethan; Hombre
Ethelbert; H
Ethelred; Hombre
Etienne; H
Euclid; H
Eugen; Masc
Eugene; Masculino
Eustace; Masc
Ev; Masculino
Evan; Masculino
Evelyn; Hombre
Everard; Hombre
Everett; H
Ewan; H
Ewart; Masculino
Ez; Masc
Ezechiel; Hombre
Ezekiel; H
Ezra; Masc
Fabian; Masc
Fabio; H
Fairfax; Masculino
Farley; H
Fazeel; Masculino
Federico; Masculino
Felice; Hombre
Felicio; Hombre
Felipe; H
Felix; Hombre
Ferd; Masc
Ferdie; H
Ferdinand; Masculino
Ferdy; Masc
Fergus; Hombre
Ferguson; Hombre
Ferinand; Hombre
Fernando; Masc
Fidel; Masc
Filbert; Masculino
Filip; Masculino
Filipe; Hombre
Filmore; Masculino
Finley; Masc
Finn; Hombre
Fitz; H
Fitzgerald; Masculino
Flem; Masculino
Fleming; Hombre
Flemming; Hombre
Fletch; Masculino
Fletcher; Masc
Flin; Masc
Flinn; Hombre
Flint; Hombre
Flipper; Hombre
Florian; Masc
Floyd; Masc
Flynn; H
Fons; H
Fonsie; H
Fonz; Masc
Fonzie; Masculino
Forbes; Masculino
Ford; H
Forest; Masculino
Forester; Masc
Forrest; Masc
Forrester; Masc
Forster; Masc
Foster; Masc
Fowler; Masculino
Fox; Masculino
Fran; Hombre
Francesco; Hombre
Francis; Hombre
Francisco; Masc
Francois; Masculino
Frank; Masc
Frankie; H
Franklin; Masc
Franklyn; H
Franky; Hombre
Frans; Hombre
Franz; Hombre
Fraser; Masculino
Frazier; Masculino
Fred; Masculino
Freddie; Hombre
Freddy; Hombre
Frederic; Hombre
Frederich; Masc
Frederick; Masc
Frederico; Masc
Frederik; H
Fredric; Masculino
Fredrick; Hombre
Freeman; H
Freemon; Hombre
Fremont; H
French; Masculino
Friedric; Masc
Friedrich; Masculino
Friedrick; Masculino
Fritz; Hombre
Fulton; Masc
Fyodor; Masculino
Gabe; Masc
Gabriel; Hombre
Gabriele; Masc
Gabriell; H
Gabriello; H
Gail; Masculino
Gale; Masc
Galen; H
Gallagher; Hombre
Gamaliel; H
Garcia; H
Garcon; H
Gardener; Masculino
Gardiner; Masculino
Gardner; Hombre
Garey; Hombre
Garfield; Masculino
Garfinkel; Masculino
Garold; Masc
Garp; Masculino
Garret; Masc
Garrett; Masc
Garrot; Masculino
Garrott; Masc
Garry; Masculino
Garth; Masc
Garv; Hombre
Garvey; Masculino
Garvin; H
Garvy; Masculino
Garwin; H
Garwood; Masculino
Gary; Masculino
Gaspar; Masculino
Gasper; Masc
Gaston; Hombre
Gav; H
Gaven; Hombre
Gavin; Masculino
Gavriel; H
Gay; H
Gayle; H
Gearard; Masc
Gene; H
Geo; Hombre
Geof; Hombre
Geoff; Masc
Geoffrey; Masc
Geoffry; Masculino
Georg; Masc
George; Hombre
Georges; Masc
Georgia; Hombre
Georgie; H
Georgy; H
Gerald; Masculino
Geraldo; H
Gerard; H
Gere; Masc
Gerhard; Masc
Gerhardt; Masculino
Geri; Hombre
Germaine; Masculino
Gerold; Hombre
Gerome; Hombre
Gerrard; Masculino
Gerri; Masculino
Gerrit; Hombre
Gerry; Masculino
Gershom; Masc
Gershon; H
Giacomo; H
Gian; Hombre
Giancarlo; Hombre
Giavani; Masc
Gibb; Hombre
Gideon; H
Giff; Masculino
Giffard; Masc
Giffer; H
Giffie; Masculino
Gifford; H
Giffy; Masculino
Gil; H
Gilbert; Hombre
Gilberto; Masculino
Gilburt; Hombre
Giles; Masculino
Gill; Masc
Gilles; Masc
Ginger; Masculino
Gino; Masculino
Giordano; Masc
Giorgi; Hombre
Giorgio; Hombre
Giovanne; Masculino
Giovanni; H
Giraldo; Hombre
Giraud; H
Giuseppe; Hombre
Glen; Masculino
Glenn; Masculino
Glynn; Masc
Godard; Hombre
Godart; Hombre
Goddard; Masc
Goddart; Masc
Godfree; H
Godfrey; Masculino
Godfry; Hombre
Godwin; Hombre
Gomer; Masc
Gonzales; Masculino
Gonzalo; Masc
Goober; Masculino
Goose; Hombre
Gordan; Masculino
Gordie; H
Gordon; Masc
Grace; Masculino
Grady; Hombre
Graehme; Masculino
Graeme; Masculino
Graham; Masc
Graig; H
Grant; H
Granville; Masc
Greg; Hombre
Gregg; Masc
Greggory; Masc
Gregor; H
Gregorio; H
Gregory; Masculino
Gretchen; Hombre
Griff; Hombre
Griffin; Masc
Griffith; Masc
Griswold; Masculino
Grove; Hombre
Grover; Hombre
Guido; Masc
Guillaume; Masculino
Guillermo; Hombre
Gunner; Hombre
Gunter; Masc
Gunther; Masculino
Gus; Hombre
Gustaf; Hombre
Gustav; H
Gustave; Hombre
Gustavo; H
Gustavus; Masc
Guthrey; H
Guthrie; Masc
Guthry; Masc
Guy; Hombre
Hadleigh; H
Hadley; Hombre
Hadrian; Masculino
Hagan; H
Hagen; Masc
Hailey; H
Hakeem; Masc
Hakim; Masc
Hal; H
Hale; Masc
Haleigh; Masc
Haley; Hombre
Hall; Masc
Hallam; Masculino
Halvard; Masc
Ham; Masc
Hamel; Masc
Hamid; Hombre
Hamil; Masculino
Hamilton; Masculino
Hamish; H
Hamlen; Masc
Hamlet; Masc
Hamlin; H
Hammad; Masc
Hamnet; Masc
Han; Hombre
Hanan; Hombre
Hanford; Masc
Hank; H
Hannibal; Hombre
Hans; Hombre
Hans-Peter; Masc
Hansel; Hombre
Hanson; H
Harald; H
Harcourt; Masc
Hari; H
Harlan; Hombre
Harland; Masculino
Harley; Masc
Harlin; Masculino
Harman; Hombre
Harmon; H
Harold; Hombre
Harris; Masc
Harrison; Masculino
Harrold; Masculino
Harry; Masc
Hart; Masculino
Hartley; Hombre
Hartwell; Hombre
Harv; Hombre
Harvard; H
Harvey; Masc
Harvie; H
Harwell; H
Hasheem; Hombre
Hashim; Masculino
Haskel; Masc
Haskell; Masc
Hassan; Masc
Hastings; Masc
Hasty; Masc
Haven; Hombre
Hayden; Masculino
Haydon; Masc
Hayes; H
Hayward; H
Haywood; H
Hazel; Masculino
Heath; H
Heathcliff; H
Hebert; Hombre
Hector; Masc
Heinrich; Masc
Heinz; Masculino
Helmuth; Hombre
Henderson; Masculino
Hendrick; Masc
Hendrik; Masculino
Henri; Hombre
Henrie; Masculino
Henrik; Masculino
Henrique; Masc
Henry; H
Herb; Masc
Herbert; Masculino
Herbie; Masculino
Herby; Masc
Hercule; Masculino
Hercules; Hombre
Herculie; Masculino
Herman; Masc
Hermann; Masculino
Hermon; Hombre
Hermy; Masc
Hernando; Hombre
Herold; H
Herrick; Masculino
Herrmann; H
Hersch; Masculino
Herschel; Masculino
Hersh; Hombre
Hershel; Masculino
Herve; H
Hervey; Hombre
Hew; Masc
Hewe; Hombre
Hewet; Hombre
Hewett; Masculino
Hewie; Masculino
Hewitt; Hombre
Heywood; Masculino
Hezekiah; Hombre
Higgins; Masc
Hilary; Hombre
Hilbert; Masc
Hill; Hombre
Hillard; Hombre
Hillary; Masculino
Hillel; Hombre
Hillery; Masc
Hilliard; H
Hilton; H
Hiralal; H
Hiram; Masculino
Hiro; Masculino
Hirsch; H
Hobart; Masculino
Hodge; Masculino
Hogan; Masculino
Hollis; Hombre
Holly; Masc
Homer; H
Horace; Masculino
Horacio; Hombre
Horatio; Masc
Horatius; Masculino
Horst; Masc
Howard; Masculino
Howie; Hombre
Hoyt; H
Hubert; Masculino
Hudson; Masculino
Huey; Masculino
Hugh; Hombre
Hugo; Hombre
Humbert; Masc
Humphrey; H
Hunt; Hombre
Hunter; Masc
Huntington; Masc
Huntlee; Masc
Huntley; Masc
Hurley; H
Husain; Masc
Husein; Hombre
Hussein; Masc
Hy; H
Hyatt; H
Hyman; Hombre
Hymie; Masc
Iago; Hombre
Iain; Masc
Ian; H
Ibrahim; Hombre
Ichabod; Masc
Iggie; Hombre
Iggy; Masculino
Ignace; Masc
Ignacio; H
Ignacius; Masculino
Ignatius; Masculino
Ignaz; Masculino
Ignazio; H
Igor; Masc
Ike; Masc
Ikey; H
Immanuel; Masc
Ingamar; Masculino
Ingelbert; Hombre
Ingemar; Hombre
Inglebert; H
Ingmar; Hombre
Ingram; Hombre
Inigo; Masc
Ira; H
Irvin; Hombre
Irvine; H
Irving; Hombre
Irwin; H
Isa; H
Isaac; Masc
Isaak; Hombre
Isador; Masc
Isadore; H
Isaiah; Masc
Ishmael; Masculino
Isidore; Masc
Ismail; Masc
Israel; Hombre
Istvan; H
Ivan; Hombre
Ivor; H
Izaak; Hombre
Izak; Hombre
Izzy; Masc
Jabez; H
Jack; Masculino
Jackie; H
Jackson; Masc
Jacob; H
Jacques; Hombre
Jae; H
Jaime; Hombre
Jake; H
Jakob; Masc
James; Masc
Jameson; Hombre
Jamey; Hombre
Jamie; H
Jan; Masc
Janos; Hombre
Janus; Masc
Jared; Masculino
Jarrett; Hombre
Jarvis; Masc
Jason; Masculino
Jasper; Masculino
Javier; H
Jay; Masc
Jean; Masculino
Jean-Christophe; Hombre
Jean-Francois; Hombre
Jean-Lou; H
Jean-Luc; Hombre
Jean-Marc; H
Jean-Paul; Hombre
Jean-Pierre; H
Jeb; Masc
Jed; H
Jedediah; Masculino
Jef; Hombre
Jeff; H
Jefferey; H
Jefferson; Hombre
Jeffery; Masculino
Jeffie; Hombre
Jeffrey; Masculino
Jeffry; Masc
Jefry; Masculino
Jehu; H
Jennings; Masculino
Jens; Masculino
Jephthah; Masc
Jerald; Hombre
Jeramie; H
Jere; Masc
Jereme; Masculino
Jeremiah; Hombre
Jeremias; Masc
Jeremie; Masculino
Jeremy; Masculino
Jermain; Masculino
Jermaine; H
Jermayne; Masculino
Jerold; Masculino
Jerome; Masc
Jeromy; Hombre
Jerri; Hombre
Jerrie; Masc
Jerrold; Masculino
Jerrome; Masc
Jerry; Masculino
Jervis; Masculino
Jerzy; Masc
Jess; Masc
Jesse; Hombre
Jessee; Masculino
Jessey; Masc
Jessie; H
Jesus; Masculino
Jeth; H
Jethro; H
Jim; H
Jimbo; Masculino
Jimmie; H
Jimmy; Masc
Jo; Masc
Joab; Masc
Joachim; Masc
Joao; Masc
Joaquin; H
Job; Masc
Jock; Hombre
Jodi; H
Jodie; Masc
Jody; Masculino
Joe; Hombre
Joel; H
Joey; Masc
Johan; Masc
Johann; Masc
Johannes; Hombre
John; Hombre
John-David; Masc
John-Patrick; Masculino
Johnathan; Masc
Johnathon; H
Johnnie; H
Johnny; Masculino
Johny; Masc
Jon; Masculino
Jonah; Masculino
Jonas; Masc
Jonathan; Masc
Jonathon; Masc
Jonny; Masc
Jordan; Masculino
Jordon; H
Jordy; Hombre
Jorge; H
Jory; Masc
Jose; Masculino
Josef; H
Joseph; Masculino
Josephus; H
Josh; Masc
Joshua; Masc
Joshuah; Masculino
Josiah; Hombre
Jotham; Masc
Juan; Hombre
Juanita; Hombre
Jud; Hombre
Judah; Masculino
Judas; Hombre
Judd; Masc
Jude; H
Judith; Masc
Judson; H
Judy; Masculino
Juergen; Hombre
Jule; Masc
Jules; Hombre
Julian; Hombre
Julie; Masculino
Julio; Hombre
Julius; Masc
Justin; Hombre
Justis; Hombre
Kaiser; H
Kaleb; Hombre
Kalil; H
Kalle; Hombre
Kalman; Hombre
Kalvin; Masculino
Kam; H
Kane; Masculino
Kareem; H
Karel; Masculino
Karim; Masculino
Karl; Hombre
Karsten; Hombre
Kaspar; Hombre
Keefe; H
Keenan; H
Keene; Masc
Keil; Masculino
Keith; H
Kellen; Hombre
Kelley; Masc
Kelly; Masc
Kelsey; Masculino
Kelvin; H
Kelwin; Hombre
Ken; Masc
Kendal; H
Kendall; Hombre
Kendrick; Hombre
Kenn; H
Kennedy; H
Kenneth; Masculino
Kenny; H
Kent; Masc
Kenton; Hombre
Kenyon; Masculino
Kermie; Hombre
Kermit; H
Kerry; Hombre
Kevan; Masc
Kevin; Hombre
Kim; Masculino
Kimball; Masculino
Kimmo; Masculino
Kin; Hombre
Kincaid; Masculino
King; H
Kingsley; Hombre
Kingsly; Masc
Kingston; Masculino
Kip; Masc
Kirby; H
Kirk; H
Kit; Masculino
Klaus; Masculino
Klee; Masculino
Knox; Hombre
Konrad; Masculino
Konstantin; Masc
Kory; Hombre
Kostas; Masc
Kraig; Masc
Kris; Masc
Krishna; H
Kristian; Masc
Kristopher; Masculino
Kristos; H
Kurt; Masculino
Kurtis; Hombre
Kyle; Hombre
Laird; Hombre
Lamar; Hombre
Lambert; H
Lamont; Hombre
Lance; Masculino
Lancelot; H
Lane; Masc
Langston; H
Lanny; Hombre
Larry; Masc
Lars; Masc
Laurance; H
Lauren; H
Laurence; Masculino
Laurens; Hombre
Laurent; Masc
Laurie; H
Lawerence; H
Lawrence; Hombre
Lawson; Hombre
Lawton; Hombre
Lay; Masculino
Layton; Masc
Lazar; Masculino
Lazare; Masc
Lazaro; Hombre
Lazarus; Hombre
Lazlo; H
Lee; Hombre
Lefty; H
Leif; Hombre
Leigh; Hombre
Leighton; Masc
Leland; Hombre
Lem; H
Lemar; Hombre
Lemmie; Hombre
Lemmy; Masculino
Lemuel; Masc
Len; Masc
Lenard; Masculino
Lennie; Masc
Lenny; Masculino
Leo; H
Leon; Masc
Leonard; Masculino
Leonardo; Masculino
Leonerd; H
Leonhard; Hombre
Leonid; Hombre
Leonidas; Masc
Leopold; Masc
Leroy; H
Les; Masc
Lesley; Masculino
Leslie; Masc
Lester; H
Lev; Masculino
Levi; Masculino
Levin; H
Levon; Masc
Levy; Hombre
Lew; Masculino
Lewis; H
Lex; Hombre
Liam; Masculino
Lin; Masculino
Lincoln; Hombre
Lind; Hombre
Lindsay; H
Lindsey; Masculino
Lindy; Masc
Linoel; Hombre
Linus; H
Lion; H
Lionel; Masculino
Lionello; Masc
Llewellyn; Hombre
Lloyd; H
Locke; Masc
Lockwood; Hombre
